season_label,year,class,district,round,game_num,date_time,tournament_id,team1,team1_id,team1_seed,team1_score,team1_winner,team2,team2_id,team2_seed,team2_score,team2_winner,margin,champion,champion_id,incomplete
2012-2013,2012,1,9,Semifinals,3,May 13 @7:00 PM,97275,St. Paul Lutheran (Concordia),550,2,1,True,Clinton,64,3,0,False,1,St. Paul Lutheran (Concordia),550,False
2012-2013,2012,1,10,Final,1,May 15 @6:00 PM,97653,Fatima,293,,0,False,Dixon,273,,4,True,4,Dixon,273,False
2012-2013,2012,1,10,Semifinals,2,May 13 @4:30 PM,97653,Fatima,293,1,10,True,Belle,212,4,0,False,10,Dixon,273,False
2012-2013,2012,1,10,Semifinals,3,May 13 @6:45 PM,97653,Dixon,273,2,11,True,St. James,172,3,2,False,9,Dixon,273,False
2012-2013,2012,1,11,Final,1,May 14 @6:00 PM,97555,Osage,152,,4,True,Crocker,288,,1,False,3,Osage,152,False
2012-2013,2012,1,11,Semifinals,2,May 13 @5:00 PM,97555,Osage,152,1,5,True,Laquey,581,4,0,False,5,Osage,152,False
2012-2013,2012,1,11,Semifinals,3,May 13 @7:00 PM,97555,Crocker,288,2,3,True,Fair Grove,290,3,2,False,1,Osage,152,False
2012-2013,2012,1,12,Final,1,May 17 @5:00 PM,96404,Springfield Catholic,571,,3,True,Logan-Rogersville,127,,1,False,2,Springfield Catholic,571,False
2012-2013,2012,1,12,Semifinals,2,May 14 @4:30 PM,96404,Springfield Catholic,571,1,5,True,McAuley Catholic/College Heights Christian,568,,0,False,5,Springfield Catholic,571,False
2012-2013,2012,1,12,Semifinals,3,May 14 @6:30 PM,96404,Logan-Rogersville,127,2,1,True,Greenwood,567,3,0,False,1,Springfield Catholic,571,False
2012-2013,2012,1,12,Quarterfinals,5,May 13 @5:00 PM,96404,McAuley Catholic/College Heights Christian,568,4,6,True,Monett,133,5,0,False,6,Springfield Catholic,571,False
2012-2013,2012,1,13,Final,1,May 15 @6:00 PM,97572,O'Hara,537,,8,True,Summit Christian Academy,783,,1,False,7,O'Hara,537,False
