filename,status,output,bg_fraction,slug
Columbia Independent Logo.jpg,processed,matched/columbia-independent.png,0.439,columbia-independent
Community Logo.jpg,processed,matched/community.png,0.541,community
Concordia Logo.jpg,processed,matched/concordia.png,0.464,concordia
Confluence Prep Charter Logo.jpg,processed,matched/confluence-prep-academy-charter.png,0.378,confluence-prep-academy-charter
Conway Logo.jpg,processed,matched/conway.png,0.368,conway
Cooter Logo.jpg,processed,matched/cooter.png,0.747,cooter
Cor Jesu Academy Logo.jpg,processed,matched/cor-jesu-academy.png,0.327,cor-jesu-academy
Couch Logo.jpg,processed,matched/couch.png,0.629,couch
Crane Logo.jpg,processed,matched/crane.png,0.471,crane
Crest Ridge Logo.jpg,processed,matched/crest-ridge.png,0.698,crest-ridge
Crocker Logo.jpg,processed,matched/crocker.png,0.397,crocker
Crossroads Prep Charter Logo.jpg,processed,matched/crossroads-prep-charter.png,0.461,crossroads-prep-charter
Crystal City Logo.jpg,processed,matched/crystal-city.png,0.61,crystal-city
Cuba Logo.jpg,processed,matched/cuba.png,0.754,cuba
Dadeville Logo.jpg,processed,matched/dadeville.png,0.368,dadeville
De Smet Jesuit Logo.jpg,processed,matched/de-smet-jesuit.png,0.496,de-smet-jesuit
DeKalb Logo.jpg,processed,matched/dekalb.png,0.545,dekalb
DeLaSalle Logo.jpg,processed,matched/delasalle-charter.png,0.874,delasalle-charter
DeSoto Logo.jpg,processed,matched/desoto.png,0.828,desoto
Delta Deering Logo.jpg,processed,matched/delta-deering.png,0.774,delta-deering
Delta Logo.jpg,processed,matched/delta.png,0.626,delta
Dexter Logo.jpg,processed,matched/dexter.png,0.615,dexter
Diamond Logo.jpg,processed,matched/diamond.png,0.592,diamond
Dixon Logo.jpg,processed,matched/dixon.png,0.632,dixon
Doniphan Logo.jpg,processed,matched/doniphan.png,0.59,doniphan
Dora Logo.jpg,processed,matched/dora.png,0.568,dora
Drexel Logo.jpg,processed,matched/drexel.png,0.522,drexel
Duchesne Logo.jpg,processed,matched/duchesne.png,0.214,duchesne
East Buchanan Logo.jpg,processed,matched/east-buchanan.png,0.65,east-buchanan
East Carter Logo.jpg,processed,matched/east-carter.png,0.167,east-carter
East Kansas City Logo.jpg,processed,matched/east-kansas-city.png,0.56,east-kansas-city
East Newton Logo.jpg,processed,matched/east-newton.png,0.691,east-newton
East Prairie Logo.jpg,bg_removal_uncertain,,0.007,east-prairie
El Dorado Springs Logo.jpg,processed,matched/el-dorado-springs.png,0.478,el-dorado-springs
Eldon Logo.jpg,processed,matched/eldon.png,0.885,eldon
Ellington Logo.jpg,processed,matched/ellington.png,0.604,ellington
Elsberry Logo.jpg,processed,matched/elsberry.png,0.463,elsberry
